                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7549,                0.95697,                0.92393,                0.57569,                0.70383,                0.46311,                0.25069,                 2.0107,                 3.4453,                 1.0065,             0.00042081,             0.00042081,             0.00042081
                     36,                 1.8159,                0.97538,                 0.9253,                0.57296,                0.70132,                0.50883,                0.24435,                 2.2872,                 4.0914,                 1.0506,             0.00041462,             0.00041462,             0.00041462
                     37,                 1.7563,                0.95673,                0.91347,                0.57124,                0.70042,                 0.4797,                0.25187,                 2.0611,                  3.259,                0.99273,             0.00040844,             0.00040844,             0.00040844
                     38,                 1.7115,                 0.9575,                0.92489,                0.56804,                0.69263,                0.44256,                0.21521,                 2.1743,                 3.6658,                 1.0257,             0.00040225,             0.00040225,             0.00040225
                     39,                 1.7197,                0.94919,                 0.9147,                 0.5762,                0.70498,                0.43764,                0.23267,                 2.0129,                 3.2251,                0.99428,             0.00039606,             0.00039606,             0.00039606
                     40,                   1.72,                0.93256,                0.90966,                0.54237,                0.66421,                0.39641,                0.18672,                 2.2327,                 3.0998,                 1.0362,             0.00038988,             0.00038988,             0.00038988
                     41,                 1.7062,                0.91008,                0.91392,                0.53971,                0.65921,                0.41805,                0.18564,                 2.3046,                 2.9099,                 1.0504,             0.00038369,             0.00038369,             0.00038369
                     42,                 1.7009,                0.92755,                0.91266,                0.55492,                0.67675,                 0.4671,                0.22461,                 2.2268,                 3.0925,                 1.0303,              0.0003775,              0.0003775,              0.0003775
                     43,                 1.7301,                0.92011,                0.91056,                0.57576,                 0.7044,                 0.4714,                0.24904,                 2.0837,                 2.9102,                 1.0161,             0.00037131,             0.00037131,             0.00037131
                     44,                 1.6974,                0.90443,                0.91083,                0.58144,                0.71175,                0.46269,                0.24783,                 2.0309,                 3.1087,                 1.0065,             0.00036513,             0.00036513,             0.00036513
                     45,                 1.6772,                0.88285,                0.90361,                0.55027,                0.67163,                0.40775,                0.20588,                 2.1901,                 3.0495,                 1.0389,             0.00035894,             0.00035894,             0.00035894
                     46,                 1.7106,                0.93439,                0.90724,                0.52965,                0.64794,                0.37255,                0.18285,                 2.2386,                 3.3327,                  1.046,             0.00035275,             0.00035275,             0.00035275
                     47,                 1.6833,                 0.8938,                0.91258,                0.57713,                0.70558,                0.47624,                0.24116,                 2.1223,                 3.3107,                  1.028,             0.00034656,             0.00034656,             0.00034656
                     48,                 1.6469,                0.88083,                0.90485,                0.56662,                0.69332,                0.42266,                0.22711,                  2.033,                  3.274,                 1.0078,             0.00034038,             0.00034038,             0.00034038
                     49,                 1.6944,                0.91746,                 0.9107,                0.57795,                0.70585,                0.48498,                0.26819,                 1.9837,                 3.0491,                0.99464,             0.00033419,             0.00033419,             0.00033419
                     50,                 1.6987,                0.89726,                0.90043,                0.57985,                0.70747,                0.51184,                0.29503,                 1.9075,                  2.766,                0.98637,               0.000328,               0.000328,               0.000328
                     51,                  1.641,                 0.8672,                0.90238,                0.57977,                 0.7103,                 0.4513,                0.24179,                 1.9917,                 3.0535,                0.99499,             0.00032181,             0.00032181,             0.00032181
                     52,                  1.664,                0.89597,                0.90628,                0.58023,                 0.7089,                0.48912,                0.27163,                 1.9908,                  3.018,                 0.9934,             0.00031562,             0.00031562,             0.00031562
                     53,                 1.6982,                0.88367,                0.90152,                0.57226,                0.70045,                0.43724,                0.21623,                 2.1304,                 3.1921,                 1.0203,             0.00030944,             0.00030944,             0.00030944
                     54,                 1.6647,                0.87775,                0.90833,                 0.5778,                 0.7073,                0.45087,                0.24823,                 1.9468,                 3.0943,                0.99003,             0.00030325,             0.00030325,             0.00030325
                     55,                 1.6543,                 0.8783,                0.90192,                0.57796,                0.70804,                0.48172,                0.26694,                 1.9743,                 2.9048,                0.98952,             0.00029706,             0.00029706,             0.00029706
                     56,                 1.6487,                0.87228,                0.90193,                0.57845,                0.70964,                 0.4821,                0.27381,                 1.9254,                 2.9251,                0.98332,             0.00029088,             0.00029088,             0.00029088
                     57,                 1.6454,                0.86602,                0.90349,                0.57939,                 0.7084,                0.49906,                0.27584,                 1.9938,                 2.8796,                0.98953,             0.00028469,             0.00028469,             0.00028469
                     58,                 1.6463,                0.86273,                0.90647,                 0.5804,                0.70874,                0.51327,                0.29778,                 1.9153,                 2.8694,                0.98126,              0.0002785,              0.0002785,              0.0002785
                     59,                 1.6681,                0.86106,                0.90131,                0.57791,                0.70852,                 0.4643,                0.26213,                 1.9085,                 3.1582,                0.98227,             0.00027231,             0.00027231,             0.00027231
                     60,                 1.6421,                0.85166,                0.89773,                0.57864,                0.70849,                0.50935,                0.28884,                 1.9461,                 3.0337,                0.99451,             0.00026613,             0.00026613,             0.00026613
                     61,                 1.6853,                0.85024,                0.91261,                0.57886,                0.70811,                0.50981,                0.29963,                 1.8995,                  2.941,                0.98433,             0.00025994,             0.00025994,             0.00025994
                     62,                 1.6338,                0.84283,                0.90667,                0.57977,                0.70982,                0.48069,                0.27858,                 1.9246,                  2.942,                 0.9811,             0.00025375,             0.00025375,             0.00025375
                     63,                  1.655,                0.86271,                0.90881,                0.57307,                0.70147,                0.44679,                0.24772,                 1.9706,                 3.2379,                0.99365,             0.00024756,             0.00024756,             0.00024756
                     64,                 1.6327,                0.84924,                0.91009,                0.58012,                0.70219,                0.50059,                0.28946,                 1.9613,                 2.9035,                0.98878,             0.00024137,             0.00024137,             0.00024137
                     65,                 1.6502,                0.86593,                0.91035,                0.57833,                0.70719,                0.46709,                0.26003,                 1.9544,                 3.1849,                0.98425,             0.00023519,             0.00023519,             0.00023519
                     66,                 1.6784,                0.85409,                0.90707,                0.57968,                0.70913,                0.49404,                 0.2845,                 1.9556,                 2.8309,                0.98848,               0.000229,               0.000229,               0.000229
                     67,                 1.6371,                0.84004,                0.89635,                0.57974,                 0.7085,                0.49441,                0.28853,                 1.9365,                 2.7295,                0.98318,             0.00022281,             0.00022281,             0.00022281
                     68,                 1.6233,                0.84547,                0.90225,                0.57785,                0.70774,                0.50204,                0.28796,                 1.9293,                 3.0616,                0.98905,             0.00021662,             0.00021662,             0.00021662
                     69,                 1.6488,                0.85104,                0.90134,                0.57744,                0.70761,                0.45179,                0.24955,                 1.9603,                 3.1565,                0.98658,             0.00021044,             0.00021044,             0.00021044
                     70,                 1.6152,                0.83691,                0.90816,                0.57763,                0.70616,                0.46623,                0.26183,                 1.9431,                 3.0209,                 0.9828,             0.00020425,             0.00020425,             0.00020425
                     71,                 1.6181,                0.84026,                0.89632,                0.57694,                0.70615,                0.46886,                0.26407,                 1.9287,                    3.1,                0.98583,             0.00019806,             0.00019806,             0.00019806
                     72,                 1.6078,                0.85373,                0.88676,                0.57167,                0.70047,                0.43613,                0.24059,                 1.9599,                 3.1463,                0.98856,             0.00019188,             0.00019188,             0.00019188
                     73,                 1.6171,                0.86059,                0.89335,                 0.5771,                0.70702,                 0.4675,                0.25974,                 1.9771,                 3.0728,                 0.9918,             0.00018569,             0.00018569,             0.00018569
                     74,                 1.6337,                0.84699,                0.89782,                0.57819,                0.70745,                0.48068,                0.27112,                 1.9354,                  2.893,                0.98647,              0.0001795,              0.0001795,              0.0001795
